nombre,area,jerarquia,puntaje,cantidad_proyectos,desempenio,personas_equipo,horas_extra,asistencia_puntualidad,desempenio_futuro
Empleado 1,deposito,junior,36,3,bajo,14,3,68,0
Empleado 2,reposicion,trainee,65,3,alto,27,15,74,0
Empleado 3,ventas,trainee,52,2,medio,18,20,93,0
Empleado 4,atencion al cliente,trainee,96,5,medio,23,16,62,0
Empleado 5,logistica,trainee,44,3,bajo,15,12,93,0
Empleado 6,ventas,junior,42,5,medio,24,7,93,1
Empleado 7,caja,senior,66,3,medio,7,14,58,1
Empleado 8,administracion,trainee,33,1,medio,29,16,44,0
Empleado 9,administracion,junior,98,4,medio,5,11,84,1
Empleado 10,logistica,junior,98,2,alto,7,1,65,0
Empleado 11,ventas,junior,39,5,alto,15,18,80,0
Empleado 12,caja,trainee,33,3,medio,15,2,82,0
Empleado 13,logistica,trainee,30,3,alto,15,11,89,0
Empleado 14,caja,junior,73,4,medio,15,3,60,0
Empleado 15,administracion,senior,72,3,alto,26,0,82,0
Empleado 16,ventas,junior,76,3,medio,11,16,85,1
Empleado 17,caja,senior,85,1,bajo,4,13,80,1
Empleado 18,reposicion,junior,30,4,alto,26,7,100,0
Empleado 19,caja,junior,91,1,medio,14,1,40,0
Empleado 20,atencion al cliente,junior,90,1,medio,11,12,45,0
Empleado 21,caja,junior,50,5,alto,25,4,86,0
Empleado 22,reposicion,junior,97,1,medio,7,17,56,0
Empleado 23,logistica,junior,52,4,bajo,12,12,90,1
Empleado 24,administracion,junior,40,2,medio,8,12,80,1
Empleado 25,logistica,trainee,34,1,alto,19,0,69,0
Empleado 26,caja,senior,55,1,bajo,10,16,77,0
Empleado 27,logistica,senior,32,2,medio,16,14,66,0
Empleado 28,reposicion,junior,55,3,alto,11,4,79,0
Empleado 29,deposito,trainee,64,1,alto,6,11,76,0
Empleado 30,logistica,senior,98,2,medio,24,2,76,0
Empleado 31,administracion,trainee,73,4,medio,30,12,78,0
Empleado 32,caja,senior,83,1,alto,23,14,70,0
Empleado 33,deposito,junior,58,4,medio,9,10,48,0
Empleado 34,caja,senior,51,5,medio,24,13,54,0
Empleado 35,ventas,junior,95,3,alto,17,13,76,0
Empleado 36,reposicion,senior,87,2,alto,20,8,57,2
Empleado 37,caja,trainee,39,5,bajo,3,5,90,0
Empleado 38,reposicion,trainee,91,4,bajo,23,14,91,0
Empleado 39,caja,trainee,33,3,alto,2,3,61,0
Empleado 40,logistica,junior,67,4,alto,23,5,76,1
Empleado 41,caja,senior,84,5,alto,5,7,41,1
Empleado 42,administracion,senior,36,3,medio,23,1,94,0
Empleado 43,reposicion,junior,50,3,bajo,6,7,97,1
Empleado 44,caja,trainee,89,4,medio,13,3,66,0
Empleado 45,deposito,senior,43,3,alto,20,13,96,2
Empleado 46,ventas,trainee,37,4,bajo,25,18,93,0
Empleado 47,logistica,junior,93,4,bajo,5,9,68,1
Empleado 48,reposicion,junior,42,1,bajo,11,17,78,0
Empleado 49,ventas,senior,59,3,alto,6,18,89,0
Empleado 50,reposicion,junior,33,1,bajo,16,0,50,0
Empleado 51,logistica,senior,88,5,alto,3,9,96,2
Empleado 52,logistica,trainee,48,3,bajo,6,0,85,0
Empleado 53,ventas,junior,63,1,alto,29,11,55,1
Empleado 54,deposito,trainee,45,5,medio,20,8,71,0
Empleado 55,logistica,trainee,45,1,medio,4,12,59,0
Empleado 56,caja,junior,87,3,medio,18,7,50,0
Empleado 57,logistica,junior,60,3,medio,18,5,60,1
Empleado 58,caja,senior,78,4,medio,8,18,57,0
Empleado 59,administracion,junior,74,4,bajo,5,19,50,1
Empleado 60,reposicion,senior,34,2,alto,5,11,84,1
Empleado 61,caja,trainee,51,3,medio,17,16,66,0
Empleado 62,administracion,senior,91,1,alto,8,12,68,0
Empleado 63,atencion al cliente,junior,59,2,medio,21,15,92,1
Empleado 64,administracion,senior,90,5,medio,15,3,53,0
Empleado 65,logistica,trainee,77,1,alto,11,11,87,1
Empleado 66,caja,trainee,53,4,medio,6,8,73,0
Empleado 67,logistica,trainee,78,3,medio,9,4,70,0
Empleado 68,reposicion,senior,97,5,medio,20,12,99,2
Empleado 69,caja,junior,34,3,bajo,19,18,92,0
Empleado 70,caja,senior,91,2,alto,11,16,41,2
Empleado 71,deposito,senior,91,4,medio,20,17,43,2
Empleado 72,deposito,senior,64,4,medio,12,11,66,0
Empleado 73,logistica,trainee,42,3,bajo,2,0,59,0
Empleado 74,ventas,junior,79,5,medio,26,19,56,0
Empleado 75,caja,junior,89,5,bajo,19,18,79,2
Empleado 76,reposicion,trainee,35,5,alto,15,1,75,0
Empleado 77,ventas,junior,41,2,alto,9,7,49,0
Empleado 78,atencion al cliente,junior,61,4,medio,23,15,78,1
Empleado 79,ventas,junior,73,5,bajo,17,7,47,1
Empleado 80,reposicion,trainee,45,4,alto,20,1,93,0
Empleado 81,administracion,junior,30,3,medio,26,8,74,0
Empleado 82,ventas,trainee,64,5,medio,29,15,42,0
Empleado 83,reposicion,junior,84,2,medio,4,3,62,0
Empleado 84,logistica,junior,55,5,bajo,14,12,99,0
Empleado 85,reposicion,junior,95,3,bajo,20,13,70,0
Empleado 86,caja,junior,60,1,medio,24,4,94,1
Empleado 87,deposito,senior,41,5,medio,18,0,89,0
Empleado 88,ventas,senior,72,5,medio,20,18,45,2
Empleado 89,atencion al cliente,junior,44,3,bajo,2,13,70,0
Empleado 90,caja,trainee,98,3,medio,16,11,99,2
